game_id,season,week,game_date,home_team,away_team,halftime_home_score,halftime_away_score,final_home_score,final_away_score,pregame_spread,pregame_total,trailing_team_home,trailing_team,halftime_deficit,trailing_team_was_favorite,trailing_team_favorite_by,trailing_team_won
2025_01_ARI_NO,2025,1,2025-09-07,NO,ARI,10.0,17.0,13,20,-6.0,44.5,True,NO,7,False,0.0,0
2025_01_BAL_BUF,2025,1,2025-09-07,BUF,BAL,13.0,20.0,41,40,-1.5,50.5,True,BUF,7,False,0.0,1
2025_01_CAR_JAX,2025,1,2025-09-07,JAX,CAR,20.0,3.0,26,10,4.5,45.5,False,CAR,17,False,0.0,0
2025_01_CIN_CLE,2025,1,2025-09-07,CLE,CIN,10.0,14.0,16,17,-5.5,47.5,True,CLE,4,False,0.0,0
2025_01_DAL_PHI,2025,1,2025-09-04,PHI,DAL,21.0,20.0,24,20,8.5,47.5,False,DAL,1,False,0.0,0
2025_01_DET_GB,2025,1,2025-09-07,GB,DET,17.0,3.0,27,13,1.5,48.5,False,DET,14,False,0.0,0
2025_01_HOU_LA,2025,1,2025-09-07,LA,HOU,7.0,9.0,14,9,3.5,43.5,True,LA,2,True,3.5,1
2025_01_KC_LAC,2025,1,2025-09-05,LAC,KC,13.0,6.0,27,21,-3.0,47.5,False,KC,7,True,3.0,0
2025_01_LV_NE,2025,1,2025-09-07,NE,LV,10.0,7.0,13,20,2.5,44.5,False,LV,3,False,0.0,1
2025_01_MIA_IND,2025,1,2025-09-07,IND,MIA,20.0,0.0,33,8,1.5,47.5,False,MIA,20,False,0.0,0
2025_01_MIN_CHI,2025,1,2025-09-08,CHI,MIN,10.0,6.0,24,27,-1.5,43.5,False,MIN,4,True,1.5,1
2025_01_NYG_WAS,2025,1,2025-09-07,WAS,NYG,14.0,3.0,21,6,6.0,45.5,False,NYG,11,False,0.0,0
2025_01_PIT_NYJ,2025,1,2025-09-07,NYJ,PIT,19.0,17.0,32,34,-3.0,37.5,False,PIT,2,True,3.0,1
2025_01_SF_SEA,2025,1,2025-09-07,SEA,SF,10.0,7.0,13,17,-2.5,43.5,False,SF,3,True,2.5,1
2025_01_TEN_DEN,2025,1,2025-09-07,DEN,TEN,10.0,9.0,20,12,8.5,42.5,False,TEN,1,False,0.0,0
2025_02_ATL_MIN,2025,2,2025-09-14,MIN,ATL,6.0,9.0,6,22,3.5,44.5,True,MIN,3,True,3.5,0
2025_02_BUF_NYJ,2025,2,2025-09-14,NYJ,BUF,3.0,20.0,10,30,-6.0,47.5,True,NYJ,17,False,0.0,0
2025_02_CAR_ARI,2025,2,2025-09-14,ARI,CAR,20.0,3.0,27,22,7.0,45.5,False,CAR,17,False,0.0,0
2025_02_CHI_DET,2025,2,2025-09-14,DET,CHI,28.0,14.0,52,21,6.0,46.5,False,CHI,14,False,0.0,0
2025_02_CLE_BAL,2025,2,2025-09-14,BAL,CLE,10.0,3.0,41,17,12.5,46.5,False,CLE,7,False,0.0,0
